GEOID,NAME,ENR17,UTD17,COND17,COMP17,EXMPT17,ME17,PE17,RE17,REM17
5306300,Orcas Island School District,51,13,0,37,1,0,1,0,0
5307650,San Juan Island School District,48,34,3,8,3,2,0,0,1
5307800,Selkirk School District,22,20,1,0,1,0,1,0,0
5307860,Shaw Island School District,NA,NA,NA,NA,NA,NA,NA,NA,NA
5300090,Almira School District,3,3,0,0,0,0,0,0,0
5304650,Mabton School District,72,70,1,0,1,0,1,0,0
5305370,East Valley School District (Yakima),256,248,1,5,2,1,0,1,0
5309480,Wapato School District,236,230,2,3,1,0,1,0,0
5310170,Zillah School District,100,90,0,7,3,1,2,0,0
5309720,West Valley School District,264,254,3,6,1,0,1,0,0
5305280,Mount Adams School District,75,72,2,1,0,0,0,0,0
5303180,Granger School District,101,86,0,15,0,0,0,0,0
5308970,Toppenish School District,262,241,1,19,1,1,0,0,0
5309150,Union Gap School District,65,64,1,0,0,0,0,0,0
5308670,Sunnyside School District,480,475,1,2,2,0,2,0,0
5303510,Highland School District,79,75,0,1,3,1,2,0,0
5309690,West Valley School District,256,222,4,20,10,0,8,2,0
5304380,Liberty School District,35,31,2,0,2,0,2,0,0
5308250,Spokane Public Schools,NA,NA,NA,NA,NA,NA,NA,NA,NA
5301050,Centerville School District,6,5,0,1,0,0,0,0,0
5303090,Goldendale School District,84,68,1,1,14,3,10,1,0
5310020,Wishram School District,4,2,0,2,0,0,0,0,0
5300630,Boistfort School District,9,9,0,0,0,0,0,0,0
5307440,Riverside School District,77,68,0,3,6,0,6,0,0
5304920,Mead School District,626,537,5,22,62,2,61,0,0
5305640,Nine Mile Falls School District,92,79,1,5,7,0,7,0,0
5309810,White Salmon Valley School District,103,65,1,27,10,8,1,1,0
5301200,Lake Chelan School District,NA,NA,NA,NA,NA,NA,NA,NA,NA
5306420,Oroville School District,43,37,0,5,1,0,1,0,0
5305220,Moses Lake School District,595,529,8,32,26,7,19,1,0
5306270,Onion Creek School District,4,3,0,0,1,0,1,0,0
5307740,Sedro-Woolley School District,318,282,24,0,12,3,9,1,0
5301440,Colfax School District,84,84,0,0,0,0,0,0,0
5301500,Colton School District,17,17,0,0,0,0,0,0,0
5306930,Pullman School District,251,221,1,20,9,0,9,0,0
5308310,St. John School District,13,12,0,0,1,0,1,0,0
5304860,Marysville School District,839,724,18,44,53,10,40,4,0
5307770,Selah School District,259,220,7,29,3,0,3,0,0
5309360,Wahluke School District,NA,NA,NA,NA,NA,NA,NA,NA,NA
5301920,Cusick School District,10,6,1,2,1,0,1,0,0
5307950,Skamania School District,NA,NA,NA,NA,NA,NA,NA,NA,NA
5305340,Mount Pleasant School District,9,3,1,4,1,0,1,0,0
5305970,Oakesdale School District,7,5,0,1,1,1,0,0,0
5308490,Steptoe School District,5,5,0,0,0,0,0,0,0
5308790,Tekoa School District,44,40,0,4,0,0,0,0,0
5302520,Endicott School District,8,5,0,0,3,1,2,0,0
5306780,Pomeroy School District,24,21,0,1,2,0,2,0,0
5302700,Evergreen School District (Clark),1800,1089,30,559,122,19,98,3,2
5309270,Vancouver Public Schools,1779,1511,48,115,105,18,84,4,2
5301320,Clarkston School District,212,173,3,29,7,1,6,0,0
5300990,Castle Rock School District,96,85,5,2,4,0,4,0,0
5309030,Toutle Lake School District,51,37,0,10,4,0,3,1,0
5303810,Kalama School District,NA,NA,NA,NA,NA,NA,NA,NA,NA
5300060,Adna School District,39,36,0,0,3,1,1,0,1
5302640,Evaline School District,10,8,0,0,2,0,2,0,0
5305490,Napavine School District,NA,NA,NA,NA,NA,NA,NA,NA,NA
5309930,Winlock School District,NA,NA,NA,NA,NA,NA,NA,NA,NA
5308520,Stevenson-Carson School District,61,53,1,5,2,1,2,0,0
5300960,Cashmere School District,114,110,0,1,3,1,2,0,0
5305040,Mill A School District,NA,NA,NA,NA,NA,NA,NA,NA,NA
5302730,Evergreen School District (Stevens),6,5,0,0,1,1,0,0,0
5303870,Keller School District,NA,NA,NA,NA,NA,NA,NA,NA,NA
5304500,Loon Lake School District,28,10,0,15,3,0,3,0,0
5301800,Coupeville School District,72,61,1,6,4,0,4,0,0
5300750,Brinnon School District,9,5,0,2,2,0,2,0,0
5301290,Chimacum School District,78,57,4,4,13,2,10,1,0
5301380,Queets-Clearwater School District,2,2,0,0,0,0,0,0,0
5306990,Quilcene School District,10,3,2,2,3,0,3,0,0
5308190,South Whidbey School District,123,100,0,15,8,5,3,0,0
5306750,Pioneer School District,86,64,1,19,2,1,1,0,0
5304080,Klickitat School District,NA,NA,NA,NA,NA,NA,NA,NA,NA
5308070,Soap Lake School District,29,18,0,5,6,0,4,0,2
5310050,Woodland School District,173,153,1,1,18,6,12,0,0
5300390,Bellevue School District,2025,1738,14,206,67,20,49,0,0
5302880,Fife Public Schools,300,266,8,2,24,1,22,1,0
5303960,Kent School District,2045,1775,42,144,84,12,65,7,2
5304560,Riverview School District,24,20,0,1,3,1,2,0,0
5307710,Seattle School District,5687,4782,69,706,132,8,123,3,0
5307980,Skykomish School District,5,3,1,0,1,0,1,0,0
5308760,Tahoma School District,502,450,3,30,19,1,18,1,0
5300001,Enumclaw School District,357,302,5,25,25,5,20,1,0
5303540,Highline School District,1694,1448,28,187,31,1,26,4,0
5304980,Mercer Island School District,351,301,0,34,16,7,8,1,0
5308040,Snoqualmie Valley School District,512,456,6,23,27,4,24,0,0
5308130,Tukwila School District,224,195,12,8,9,0,9,0,0
5307920,Shoreline School District,849,758,34,10,47,6,42,0,0
5303330,Griffin School District,63,52,0,10,1,0,1,0,0
5307110,Rainier School District,69,54,1,8,6,1,5,0,0
5309100,Tumwater School District,485,430,4,23,28,3,26,2,0
5310140,Yelm Community Schools,494,452,10,3,29,7,21,1,0
5301140,Centralia School District,282,249,4,20,9,0,9,0,0
5302340,Easton School District,7,5,0,1,1,1,0,0,0
5304050,Kittitas School District,54,47,0,6,1,0,1,0,0
5300300,Auburn School District,1351,1142,30,106,73,11,61,3,0
5305700,North Beach School District,62,54,1,7,0,0,0,0,0
5300510,Bickleton School District,14,12,1,0,1,0,1,0,0
5303030,Glenwood School District,2,2,0,0,0,0,0,0,0
5304590,Lyle School District,22,6,0,16,0,0,0,0,0
5307320,Richland School District,1023,973,15,13,22,3,16,1,2
5303150,Grandview School District,277,206,3,67,1,0,1,0,0
5301860,Creston School District,1,1,0,0,0,0,0,0,0
5302010,Davenport School District,66,52,4,8,2,0,2,0,0
5307210,Reardan-Edwall School District,40,35,0,0,5,1,0,4,0
5310110,Yakima School District,1310,1233,16,37,24,14,10,1,0
5305550,Nespelem School District,NA,NA,NA,NA,NA,NA,NA,NA,NA
5306220,Omak School District,194,167,1,20,6,1,5,0,0
5308940,Tonasket School District,75,66,0,7,2,0,2,0,0
5301080,Central Kitsap School District,889,806,11,44,28,8,18,2,0
5305760,North Kitsap School District,453,397,5,27,24,8,17,0,0
5305940,Oak Harbor School District,528,491,17,5,15,6,8,1,0
5308340,Stanwood-Camano School District,311,228,7,39,37,12,26,0,0
5304740,Manson School District,NA,NA,NA,NA,NA,NA,NA,NA,NA
5300950,Cascade School District,13,9,0,0,4,0,4,0,0
5303990,Kettle Falls School District,53,46,4,0,3,1,2,0,0
5302310,Eastmont School District,417,405,1,5,4,0,4,0,0
5306510,Palisades School District,2,2,0,0,0,0,0,0,0
5300420,Bellingham School District,130,93,3,2,32,5,48,0,0
5302850,Ferndale School District,344,290,3,20,31,1,30,0,0
5303130,Grand Coulee Dam School District,NA,NA,NA,NA,NA,NA,NA,NA,NA
5305250,Mossyrock School District,35,33,1,0,1,0,1,0,0
5306660,Pe Ell School District,26,23,1,0,2,1,0,1,0
5308910,Toledo School District,NA,NA,NA,NA,NA,NA,NA,NA,NA
5304620,Lynden School District,348,286,6,38,18,2,18,2,0
5305010,Meridian School District,134,98,2,23,11,0,11,0,0
5305670,Nooksack Valley School District,180,141,3,33,3,0,3,0,0
5301660,Concrete School District,42,34,0,8,0,0,0,0,0
