OBJECTID,ZIP CODE,NAME,COVID-19 CASES,COVID-19 DEATHS
214,27712,Durham,401,21
215,27713,Durham,783,4
216,27801,Rocky Mount,476,13
217,27803,Rocky Mount,405,7
218,27804,Rocky Mount,694,19
219,27805,Aulander,84,0
220,27806,Aurora,19,0
221,27807,Bailey,224,3
222,27808,Bath,35,1
223,27809,Battleboro,125,2
224,27810,Belhaven,44,0
225,27812,Bethel,54,0
226,27813,Black Creek,4,0
227,27814,Blounts Creek,19,0
228,27816,Castalia,53,0
229,27817,Chocowinity,123,0
230,27818,Como,34,0
231,27820,Conway,41,2
232,27821,Edward,NA,NA
233,27822,Elm City,177,3
234,27823,Enfield,155,1
235,27824,Engelhard,23,0
236,27826,Fairfield,33,2
237,27827,Falkland,6,0
238,27828,Farmville,138,1
239,27829,Fountain,24,1
240,27830,Fremont,80,1
241,27831,Garysburg,71,1
242,27832,Gaston,68,0
243,27834,Greenville,1403,10
244,27837,Grimesland,99,1
245,27839,Halifax,40,0
246,27840,Hamilton,22,2
247,27841,Hassell,NA,NA
248,27842,Henrico,13,0
249,27843,Hobgood,22,0
250,27844,Hollister,73,0
251,27845,Jackson,19,0
252,27846,Jamesville,48,1
253,27847,Kelford,21,0
254,27849,Lewiston Woodville,32,0
255,27850,Littleton,58,0
256,27851,Lucama,124,0
257,27852,Macclesfield,49,0
258,27853,Margarettsville,10,0
259,27855,Murfreesboro,131,1
260,27856,Nashville,344,4
261,27857,Oak City,42,1
262,27858,Greenville,1712,7
263,27860,Pantego,45,1
264,27862,Pendleton,9,0
265,27863,Pikeville,183,1
266,27864,Pinetops,106,2
267,27865,Pinetown,22,1
268,27866,Pleasant Hill,21,1
269,27869,Rich Square,82,11
270,27870,Roanoke Rapids,460,14
271,27871,Robersonville,77,3
272,27872,Roxobel,7,0
273,27874,Scotland Neck,76,1
274,27875,Scranton,7,0
275,27876,Seaboard,27,1
276,27880,Sims,86,0
277,27881,Speed,NA,NA
278,27882,Spring Hope,261,3
279,27883,Stantonsburg,80,1
280,27884,Stokes,24,0
281,27885,Swanquarter,55,3
282,27886,Tarboro,555,26
283,27888,Walstonburg,72,0
284,27889,Washington,598,14
285,27890,Weldon,48,2
286,27891,Whitakers,84,5
287,27892,Williamston,267,4
288,27893,Wilson,1176,26
289,27896,Wilson,399,13
290,27897,Woodland,52,1
291,27909,Elizabeth City,654,30
292,27910,Ahoskie,459,26
293,27915,Avon,10,0
294,27916,Aydlett,2,0
295,27917,Barco,4,0
296,27919,Belvidere,15,1
297,27920,Buxton,28,0
298,27921,Camden,51,3
299,27922,Cofield,27,0
300,27923,Coinjock,2,0
301,27924,Colerain,80,1
302,27925,Columbia,112,2
303,27926,Corapeake,14,0
304,27927,Corolla,5,0
305,27928,Creswell,48,1
306,27929,Currituck,8,0
307,27932,Edenton,253,3
308,27935,Eure,18,2
309,27936,Frisco,10,1
310,27937,Gates,63,1
311,27938,Gatesville,15,0
312,27939,Grandy,13,0
313,27941,Harbinger,5,0
314,27942,Harrellsville,22,0
315,27943,Hatteras,8,0
316,27944,Hertford,150,1
317,27946,Hobbsville,16,0
318,27947,Jarvisburg,6,0
319,27948,Kill Devil Hills,98,0
320,27949,Kitty Hawk,40,0
321,27950,Knotts Island,7,0
322,27953,Manns Harbor,6,0
323,27954,Manteo,42,0
324,27956,Maple,NA,NA
325,27957,Merry Hill,36,1
326,27958,Moyock,106,1
327,27959,Nags Head,19,1
328,27960,Ocracoke,4,0
329,27962,Plymouth,85,3
330,27964,Point Harbor,2,0
331,27965,Poplar Branch,0,0
332,27966,Powells Point,6,0
333,27968,Rodanthe,5,0
334,27970,Roper,67,4
335,27972,Salvo,NA,NA
336,27973,Shawboro,12,0
337,27974,Shiloh,8,0
338,27976,South Mills,45,0
339,27978,Stumpy Point,NA,NA
340,27979,Sunbury,13,0
341,27980,Tyner,71,0
342,27981,Wanchese,7,0
343,27982,Waves,NA,NA
344,27983,Windsor,271,4
345,27986,Winton,53,2
346,28001,Albemarle,862,43
347,28006,Alexis,19,0
348,28012,Belmont,520,4
349,28016,Bessemer City,233,3
350,28018,Bostic,58,0
351,28020,Casar,33,0
352,28021,Cherryville,283,10
353,28023,China Grove,250,1
354,28025,Concord,1053,16
355,28027,Concord,1342,21
356,28031,Cornelius,508,16
357,28032,Cramerton,68,0
358,28033,Crouse,65,1
359,28034,Dallas,399,10
360,28036,Davidson,292,5
361,28037,Denver,332,1
362,28039,East Spencer,14,1
363,28040,Ellenboro,102,2
364,28043,Forest City,370,9
365,28052,Gastonia,1014,20
366,28054,Gastonia,1000,16
367,28056,Gastonia,665,7
368,28071,Gold Hill,61,2
369,28073,Grover,103,1
370,28075,Harrisburg,280,6
371,28077,High Shoals,5,0
372,28078,Huntersville,912,12
373,28079,Indian Trail,579,10
374,28080,Iron Station,93,2
375,28081,Kannapolis,530,5
376,28083,Kannapolis,523,9
377,28086,Kings Mountain,614,22
378,28088,Landis,56,0
379,28090,Lawndale,111,3
380,28091,Lilesville,42,0
381,28092,Lincolnton,753,7
382,28097,Locust,108,0
383,28098,Lowell,56,1
384,28101,Mc Adenville,7,0
385,28103,Marshville,235,1
386,28104,Matthews,491,6
387,28105,Matthews,849,39
388,28107,Midland,139,3
389,28110,Monroe,1298,24
390,28112,Monroe,817,10
391,28114,Mooresboro,136,2
392,28115,Mooresville,459,3
393,28117,Mooresville,610,2
394,28119,Morven,70,1
395,28120,Mount Holly,401,5
396,28124,Mount Pleasant,100,3
397,28125,Mount Ulla,32,0
398,28127,New London,448,3
399,28128,Norwood,144,3
400,28129,Oakboro,107,2
401,28133,Peachland,48,0
402,28134,Pineville,288,2
403,28135,Polkton,104,0
404,28137,Richfield,76,0
405,28138,Rockwell,162,4
406,28139,Rutherfordton,344,14
407,28144,Salisbury,707,31
408,28146,Salisbury,538,6
409,28147,Salisbury,846,34
410,28150,Shelby,647,23
411,28152,Shelby,486,5
412,28159,Spencer,72,0
413,28160,Spindale,91,2
414,28163,Stanfield,66,0
415,28164,Stanley,213,3
416,28166,Troutman,110,1
417,28167,Union Mills,31,1
418,28168,Vale,195,3
419,28170,Wadesboro,267,3
420,28173,Waxhaw,948,5
421,28174,Wingate,260,2
422,28202,Charlotte,427,0
423,28203,Charlotte,474,2
424,28204,Charlotte,267,3
425,28205,Charlotte,1590,28
426,28206,Charlotte,356,2
427,28207,Charlotte,205,1
428,28208,Charlotte,1217,11
429,28209,Charlotte,570,4
430,28210,Charlotte,1352,18
431,28211,Charlotte,637,26
432,28212,Charlotte,1775,21
433,28213,Charlotte,1541,17
434,28214,Charlotte,1124,6
435,28215,Charlotte,2111,19
436,28216,Charlotte,1432,15
437,28217,Charlotte,1480,6
438,28223,Charlotte,3,0
439,28226,Charlotte,747,11
440,28227,Charlotte,1597,16
441,28262,Charlotte,981,13
442,28269,Charlotte,1697,19
443,28270,Charlotte,419,5
444,28273,Charlotte,1281,18
445,28277,Charlotte,972,9
446,28278,Charlotte,587,2
447,28301,Fayetteville,457,27
448,28303,Fayetteville,377,3
449,28304,Fayetteville,614,11
450,28305,Fayetteville,84,2
451,28306,Fayetteville,639,5
452,28307,Fort Bragg,103,0
453,28308,Pope Army Airfield,0,0
454,28310,Fort Bragg,217,0
455,28311,Fayetteville,565,3
456,28312,Fayetteville,276,3
457,28314,Fayetteville,840,9
458,28315,Aberdeen,249,3
459,28318,Autryville,47,1
460,28320,Bladenboro,115,1
461,28323,Bunnlevel,61,0
