OBJECTID,ZIP CODE,NAME,COVID-19 CASES,COVID-19 DEATHS
213,27711,Durham,NA,NA
214,27712,Durham,332,35
215,27713,Durham,76,3
216,27801,Rocky Mount,728,18
217,27803,Rocky Mount,687,3
218,27804,Rocky Mount,739,17
219,27805,Aulander,146,0
220,27806,Aurora,5,0
221,27807,Bailey,45,5
222,27808,Bath,48,1
223,27809,Battleboro,218,1
224,27810,Belhaven,68,0
225,27812,Bethel,35,0
226,27813,Black Creek,2,0
227,27814,Blounts Creek,14,0
228,27816,Castalia,85,0
229,27817,Chocowinity,202,0
230,27818,Como,26,0
231,27820,Conway,44,4
232,27821,Edward,NA,NA
233,27822,Elm City,301,5
234,27823,Enfield,67,0
235,27824,Engelhard,35,0
236,27826,Fairfield,18,2
237,27827,Falkland,11,0
238,27828,Farmville,145,1
239,27829,Fountain,40,2
240,27830,Fremont,118,2
241,27831,Garysburg,45,0
242,27832,Gaston,75,0
243,27834,Greenville,1629,11
244,27837,Grimesland,11,0
245,27839,Halifax,39,0
246,27840,Hamilton,31,0
247,27841,Hassell,NA,NA
248,27842,Henrico,23,0
249,27843,Hobgood,32,0
250,27844,Hollister,107,0
251,27845,Jackson,7,0
252,27846,Jamesville,84,0
253,27847,Kelford,25,0
254,27849,Lewiston Woodville,14,0
255,27850,Littleton,17,0
256,27851,Lucama,203,0
257,27852,Macclesfield,35,0
258,27853,Margarettsville,9,0
259,27855,Murfreesboro,30,1
260,27856,Nashville,572,5
261,27857,Oak City,78,0
262,27858,Greenville,1018,10
263,27860,Pantego,66,1
264,27862,Pendleton,7,0
265,27863,Pikeville,8,1
266,27864,Pinetops,83,2
267,27865,Pinetown,11,2
268,27866,Pleasant Hill,20,1
269,27869,Rich Square,53,8
270,27870,Roanoke Rapids,808,15
271,27871,Robersonville,25,4
272,27872,Roxobel,14,0
273,27874,Scotland Neck,105,2
274,27875,Scranton,3,0
275,27876,Seaboard,41,0
276,27880,Sims,170,0
277,27881,Speed,NA,NA
278,27882,Spring Hope,381,6
279,27883,Stantonsburg,133,2
280,27884,Stokes,1,0
281,27885,Swanquarter,5,5
282,27886,Tarboro,1105,36
283,27888,Walstonburg,16,0
284,27889,Washington,1111,27
285,27890,Weldon,2,1
286,27891,Whitakers,163,10
287,27892,Williamston,496,1
288,27893,Wilson,1307,10
289,27896,Wilson,515,23
290,27897,Woodland,91,1
291,27909,Elizabeth City,1121,53
292,27910,Ahoskie,889,4
293,27915,Avon,14,0
294,27916,Aydlett,4,0
295,27917,Barco,4,0
296,27919,Belvidere,13,1
297,27920,Buxton,51,0
298,27921,Camden,10,2
299,27922,Cofield,29,0
300,27923,Coinjock,1,0
301,27924,Colerain,56,0
302,27925,Columbia,2,1
303,27926,Corapeake,11,0
304,27927,Corolla,6,0
305,27928,Creswell,84,1
306,27929,Currituck,11,0
307,27932,Edenton,98,5
308,27935,Eure,14,2
309,27936,Frisco,4,1
310,27937,Gates,103,2
311,27938,Gatesville,0,0
312,27939,Grandy,9,0
313,27941,Harbinger,7,0
314,27942,Harrellsville,18,0
315,27943,Hatteras,14,0
316,27944,Hertford,41,0
317,27946,Hobbsville,4,0
318,27947,Jarvisburg,2,0
319,27948,Kill Devil Hills,11,0
320,27949,Kitty Hawk,47,0
321,27950,Knotts Island,10,0
322,27953,Manns Harbor,7,0
323,27954,Manteo,24,0
324,27956,Maple,NA,NA
325,27957,Merry Hill,50,0
326,27958,Moyock,55,2
327,27959,Nags Head,9,2
328,27960,Ocracoke,3,0
329,27962,Plymouth,56,4
330,27964,Point Harbor,4,0
331,27965,Poplar Branch,0,0
332,27966,Powells Point,7,0
333,27968,Rodanthe,8,0
334,27970,Roper,27,2
335,27972,Salvo,NA,NA
336,27973,Shawboro,18,0
337,27974,Shiloh,9,0
338,27976,South Mills,67,0
339,27978,Stumpy Point,NA,NA
340,27979,Sunbury,24,0
341,27980,Tyner,18,0
342,27981,Wanchese,11,0
343,27982,Waves,NA,NA
344,27983,Windsor,64,2
345,27986,Winton,59,4
346,28001,Albemarle,237,61
347,28006,Alexis,33,0
348,28012,Belmont,879,4
349,28016,Bessemer City,132,3
350,28018,Bostic,94,0
351,28020,Casar,59,0
352,28021,Cherryville,553,7
353,28023,China Grove,295,2
354,28025,Concord,1371,3
355,28027,Concord,1017,14
356,28031,Cornelius,485,15
357,28032,Cramerton,113,0
358,28033,Crouse,105,1
359,28034,Dallas,565,15
360,28036,Davidson,425,7
361,28037,Denver,441,2
362,28039,East Spencer,8,2
363,28040,Ellenboro,151,4
364,28043,Forest City,205,18
365,28052,Gastonia,176,35
366,28054,Gastonia,1273,8
367,28056,Gastonia,560,8
368,28071,Gold Hill,44,3
369,28073,Grover,151,0
370,28075,Harrisburg,536,9
371,28077,High Shoals,10,0
372,28078,Huntersville,671,18
373,28079,Indian Trail,440,17
374,28080,Iron Station,16,1
375,28081,Kannapolis,647,2
376,28083,Kannapolis,500,4
377,28086,Kings Mountain,928,10
378,28088,Landis,35,0
379,28090,Lawndale,115,6
380,28091,Lilesville,6,0
381,28092,Lincolnton,821,2
382,28097,Locust,86,0
383,28098,Lowell,94,1
384,28101,Mc Adenville,12,0
385,28103,Marshville,117,0
386,28104,Matthews,409,0
387,28105,Matthews,171,30
388,28107,Midland,146,6
389,28110,Monroe,184,13
390,28112,Monroe,347,6
391,28114,Mooresboro,103,3
392,28115,Mooresville,618,0
393,28117,Mooresville,54,1
394,28119,Morven,95,1
395,28120,Mount Holly,71,3
396,28124,Mount Pleasant,147,6
397,28125,Mount Ulla,9,0
398,28127,New London,553,4
399,28128,Norwood,39,3
400,28129,Oakboro,195,1
401,28133,Peachland,85,0
402,28134,Pineville,395,1
403,28135,Polkton,131,0
404,28137,Richfield,114,0
405,28138,Rockwell,297,5
406,28139,Rutherfordton,248,7
407,28144,Salisbury,1143,37
408,28146,Salisbury,229,6
409,28147,Salisbury,237,67
410,28150,Shelby,386,38
411,28152,Shelby,671,1
412,28159,Spencer,99,0
413,28160,Spindale,155,3
414,28163,Stanfield,78,0
415,28164,Stanley,43,6
416,28166,Troutman,6,1
417,28167,Union Mills,26,1
418,28168,Vale,56,6
419,28170,Wadesboro,52,5
420,28173,Waxhaw,877,6
421,28174,Wingate,289,1
422,28202,Charlotte,528,0
423,28203,Charlotte,850,2
424,28204,Charlotte,464,3
425,28205,Charlotte,1059,5
426,28206,Charlotte,683,3
427,28207,Charlotte,14,1
428,28208,Charlotte,2434,2
429,28209,Charlotte,727,7
430,28210,Charlotte,1791,25
431,28211,Charlotte,113,6
432,28212,Charlotte,316,10
433,28213,Charlotte,2344,14
434,28214,Charlotte,405,0
435,28215,Charlotte,1438,2
436,28216,Charlotte,146,4
437,28217,Charlotte,970,8
438,28223,Charlotte,2,0
439,28226,Charlotte,222,7
440,28227,Charlotte,2834,7
441,28262,Charlotte,728,1
442,28269,Charlotte,3381,7
443,28270,Charlotte,326,10
444,28273,Charlotte,343,22
445,28277,Charlotte,1297,12
446,28278,Charlotte,696,1
447,28301,Fayetteville,347,14
448,28303,Fayetteville,690,1
449,28304,Fayetteville,586,4
450,28305,Fayetteville,36,0
451,28306,Fayetteville,982,0
452,28307,Fort Bragg,191,0
453,28308,Pope Army Airfield,0,0
454,28310,Fort Bragg,15,0
455,28311,Fayetteville,1072,1
456,28312,Fayetteville,199,6
457,28314,Fayetteville,1197,14
458,28315,Aberdeen,137,2
459,28318,Autryville,85,1
460,28320,Bladenboro,4,0
461,28323,Bunnlevel,48,0
462,28326,Cameron,120,1
463,28327,Carthage,42,2
464,28328,Clinton,678,2
465,28333,Dudley,315,4
466,28334,Dunn,377,0
467,28337,Elizabethtown,249,5
468,28338,Ellerbe,192,1
469,28339,Erwin,175,2
470,28340,Fairmont,478,13
471,28341,Faison,313,2
472,28343,Gibson,40,0
473,28344,Godwin,38,1
474,28345,Hamlet,194,1
475,28347,Hoffman,2,0
476,28348,Hope Mills,819,7
477,28349,Kenansville,40,9
478,28350,Lakeview,4,0
479,28351,Laurel Hill,14,0
480,28352,Laurinburg,57,4
481,28356,Linden,125,1
482,28357,Lumber Bridge,16,2
483,28358,Lumberton,1834,34
484,28360,Lumberton,217,5
485,28363,Marston,40,1
486,28364,Maxton,696,2
487,28365,Mount Olive,774,14
488,28366,Newton Grove,181,3
489,28369,Orrum,67,2
490,28371,Parkton,66,2
491,28372,Pembroke,393,1
492,28373,Pinebluff,20,0
493,28374,Pinehurst,258,5
494,28375,Proctorville,NA,NA
495,28376,Raeford,607,11
496,28377,Red Springs,418,11
497,28379,Rockingham,357,6
498,28382,Roseboro,65,0
499,28383,Rowland,377,4
500,28384,Saint Pauls,340,5
501,28385,Salemburg,74,0
502,28386,Shannon,587,4
503,28387,Southern Pines,328,2
504,28390,Spring Lake,165,1
505,28391,Stedman,9,0
506,28392,Tar Heel,59,0
507,28393,Turkey,21,0
508,28394,Vass,10,1
509,28395,Wade,18,0
510,28396,Wagram,109,1
511,28398,Warsaw,555,7
512,28399,White Oak,103,2
513,28401,Wilmington,221,1
514,28403,Wilmington,608,4
515,28405,Wilmington,149,4
516,28409,Wilmington,835,4
517,28411,Wilmington,141,2
518,28412,Wilmington,652,3
519,28420,Ash,30,1
520,28421,Atkinson,21,0
521,28422,Bolivia,124,3
522,28423,Bolton,88,1
523,28425,Burgaw,268,5
524,28428,Carolina Beach,212,0
525,28429,Castle Hayne,2,0
526,28430,Cerro Gordo,46,0
527,28431,Chadbourn,176,12
528,28432,Clarendon,62,2
529,28433,Clarkton,129,0
530,28434,Council,32,0
531,28435,Currie,46,0
532,28436,Delco,67,0
533,28438,Evergreen,32,0
534,28439,Fair Bluff,72,2
535,28441,Garland,1,0
536,28442,Hallsboro,67,1
537,28443,Hampstead,299,0
538,28444,Harrells,1,0
539,28445,Holly Ridge,65,2
540,28447,Ivanhoe,151,0
541,28448,Kelly,15,1
542,28449,Kure Beach,8,0
543,28450,Lake Waccamaw,45,5
544,28451,Leland,386,6
545,28452,Longwood,12,0
546,28453,Magnolia,1,1
547,28454,Maple Hill,24,0
548,28455,Nakina,70,4
549,28456,Riegelwood,177,1
550,28457,Rocky Point,174,3
551,28458,Rose Hill,520,12
552,28460,Sneads Ferry,143,1
553,28461,Southport,59,1
554,28462,Supply,66,4
555,28463,Tabor City,176,29
556,28464,Teachey,62,3
557,28465,Oak Island,79,0
558,28466,Wallace,495,8
559,28467,Calabash,275,3
560,28468,Sunset Beach,78,0
561,28469,Ocean Isle Beach,123,3
562,28470,Shallotte,150,1
563,28472,Whiteville,436,10
564,28478,Willard,28,0
565,28479,Winnabow,18,1
566,28480,Wrightsville Beach,64,0
567,28501,Kinston,435,9
568,28504,Kinston,17,7
569,28508,Albertson,112,0
570,28510,Arapahoe,12,0
571,28511,Atlantic,0,0
572,28512,Atlantic Beach,22,1
573,28513,Ayden,210,1
574,28515,Bayboro,72,1
