ZIPCODE,POP,CASES,DEATHS
27946,1089,16,0
27947,845,6,0
27948,12518,98,0
27949,7235,40,0
27950,2183,7,0
27953,992,6,0
27954,6405,42,0
27956,328,NA,NA
27957,1419,36,1
27958,12061,106,1
27959,2451,19,1
27960,899,4,0
27962,7439,85,3
27964,653,2,0
27965,611,0,0
27966,1473,6,0
27968,413,5,0
27969,0,NA,NA
27970,3214,67,4
27972,196,NA,NA
27973,1493,12,0
27974,1375,8,0
27976,3561,45,0
27978,221,NA,NA
27979,1813,13,0
27980,2075,71,0
27981,1863,7,0
27982,0,NA,NA
27983,10633,271,4
27986,2650,53,2
28001,28360,862,43
28006,1136,19,0
28012,24276,520,4
28016,14526,233,3
28018,5943,58,0
28020,2464,33,0
28021,13436,283,10
28023,14843,250,1
28025,55325,1053,16
28027,74072,1342,21
28031,31049,508,16
28032,3249,68,0
28033,3362,65,1
28034,17859,399,10
28036,18554,292,5
28037,23834,332,1
28039,428,14,1
28040,8270,102,2
28043,21472,370,9
28052,36823,1014,20
28054,40184,1000,16
28056,35595,665,7
28071,3198,61,2
28073,5606,103,1
28075,19174,280,6
28077,557,5,0
28078,66079,912,12
28079,39813,579,10
28080,8157,93,2
28081,28249,530,5
28083,25877,523,9
28086,26988,614,22
28088,3059,56,0
28090,8506,111,3
28091,2353,42,0
28092,40052,753,7
28097,6124,108,0
28098,4010,56,1
28101,465,7,0
28103,11346,235,1
28104,32469,491,6
28105,45346,849,39
28107,8210,139,3
28110,55536,1298,24
28112,28060,817,10
28114,9034,136,2
28115,41536,459,3
28117,47608,610,2
28119,3034,70,1
28120,24318,401,5
28124,7015,100,3
28125,2657,32,0
28127,7631,448,3
28128,8098,144,3
28129,6031,107,2
28133,2713,48,0
28134,11817,288,2
28135,5968,104,0
28137,3843,76,0
28138,11659,162,4
28139,20134,344,14
28144,25846,707,31
28146,30382,538,6
28147,26204,846,34
28150,29296,647,23
28152,26078,486,5
28159,3126,72,0
28160,4015,91,2
28163,5814,66,0
28164,15447,213,3
28166,9868,110,1
28167,2418,31,1
28168,10437,195,3
28170,12494,267,3
28173,63837,948,5
28174,9287,260,2
28202,16755,427,0
28203,19070,474,2
28204,8738,267,3
28205,51821,1590,28
28206,15244,356,2
28207,9761,205,1
28208,39944,1217,11
28209,26012,570,4
